id$code_content$class_value
1$#!/usr/bin/env python3$0
2$"""$0
3$Simple calculator program for demonstration$0
4$"""$0
5$$0
6$def add(a, b):$0
7$    """Add two numbers"""$0
8$    return a + b$0
9$$0
10$def subtract(a, b):$0
11$    """Subtract b from a"""$0
12$    return a - b$0
13$$0
14$def multiply(a, b):$0
15$    """Multiply two numbers"""$0
16$    return a * b$0
17$$0
18$def divide(a, b):$0
19$    """Divide a by b"""$0
20$    if b == 0:$0
21$        raise ValueError("Cannot divide by zero")$0
22$    return a / b$0
23$$0
24$def main():$0
25$    """Main function"""$0
26$    print("Simple Calculator")$0
27$    x = 10$0
28$    y = 5$0
29$    $0
30$    print(f"Addition: {x} + {y} = {add(x, y)}")$0
31$    print(f"Subtraction: {x} - {y} = {subtract(x, y)}")$0
32$    print(f"Multiplication: {x} * {y} = {multiply(x, y)}")$0
33$    print(f"Division: {x} / {y} = {divide(x, y)}")$0
34$$0
35$if __name__ == "__main__":$0
36$    main()$0
